id,question
0,"Write a function to find the minimum cost path to reach (m, n) from (0, 0) for the given cost matrix cost[][] and a position (m, n) in cost[][]."
1,Write a function to find the similar elements from the given two tuple lists.
2,Write a python function to identify non-prime numbers.
3,Write a function to find the largest integers from a given list of numbers using heap queue algorithm.
4,Write a function to find the number of ways to fill it with 2 x 1 dominoes for the given 3 x n board.
5,Write a python function to check whether the two numbers differ at one bit position only or not.
6,Write a function to find all words which are at least 4 characters long in a string by using regex.
7,Write a function to find squares of individual elements in a list using lambda function.
8,Write a python function to find the minimum number of rotations required to get the same string.
9,Write a function to get the n smallest items from a dataset.
10,Write a python function to remove first and last occurrence of a given character from the string.
11,Write a function to sort a given matrix in ascending order according to the sum of its rows.
12,Write a function to count the most common words in a dictionary.
13,Write a python function to find the volume of a triangular prism.
14,Write a function to split a string at lowercase letters.
15,Write a function to find sequences of lowercase letters joined with an underscore.
16,Write a function to find the perimeter of a square.
17,Write a function to remove characters from the first string which are present in the second string.
18,Write a function to find whether a given array of integers contains any duplicate element.
19,Write a function to check if the given number is woodball or not.
20,Write a function to find m number of multiples of n.
21,Write a function to find the first duplicate element in a given array of integers.
22,Write a python function to find the maximum sum of elements of list in a list of lists.
23,Write a function to convert the given binary number to its decimal equivalent.
24,Write a python function to find the product of non-repeated elements in a given array.
25,Write a function to check if the given tuple list has all k elements.
26,Write a python function to remove all digits from a list of strings.
27,Write a python function to find binomial co-efficient.
28,Write a python function to find the element occurring odd number of times.
29,Write a python function to count all the substrings starting and ending with same characters.
30,Write a function to find the top k integers that occur most frequently from given lists of sorted and distinct integers using heap queue algorithm.
31,Write a python function to find the largest prime factor of a given number.
32,Write a python function to convert a decimal number to binary number.
33,Write a python function to find the missing number in a sorted array.
34,Write a function to find the n-th rectangular number.
35,Write a python function to find the nth digit in the proper fraction of two given numbers.
36,Write a function to sort a given mixed list of integers and strings.
37,Write a function to find the division of first even and odd number of a given list.
38,Write a function to check if the letters of a given string can be rearranged so that two characters that are adjacent to each other are different.
39,Write a function to find frequency of the elements in a given list of lists using collections module.
40,Write a function to filter even numbers using lambda function.
41,Write a python function to find the sum of repeated elements in a given array.
42,Write a function to find sequences of lowercase letters joined with an underscore using regex.
43,Write a function that matches a word at the beginning of a string.
44,Write a function to find the gcd of the given array elements.
45,Write a python function to determine whether all the numbers are different from each other are not.
46,Write a python function to find the last digit when factorial of a divides factorial of b.
47,Write a python function to set all odd bits of a given number.
48,Write a function to extract every first or specified element from a given two-dimensional list.
49,Write a function to find the list with minimum length using lambda function.
50,Write a function to print check if the triangle is equilateral or not.
51,Write a function to caluclate area of a parallelogram.
52,Write a python function to check whether the first and last characters of a given string are equal or not.
53,Write a function to sort the given array by using counting sort.
54,Write a function to find t-nth term of geometric series.
55,Write a python function to check if a given number is one less than twice its reverse.
56,Write a python function to find the largest number that can be formed with the given digits.
57,Write a python function to check whether the given two integers have opposite sign or not.
58,Write a function to find the nth octagonal number.
59,Write a function to find the maximum length of the subsequence with difference between adjacent elements for the given array.
60,Write a python function to count number of substrings with the sum of digits equal to their length.
61,Write a python function to find smallest number in a list.
62,Write a function to find the maximum difference between available pairs in the given tuple list.
63,Write a function to sort a list of tuples using lambda.
64,Write a function of recursion list sum.
65,Write a python function to count positive numbers in a list.
66,Write a function to find the number of ways to partition a set of bell numbers.
67,Write a python function to check whether the given array is monotonic or not.
68,Write a function to check whether a list contains the given sublist or not.
69,Write a function to find whether all the given tuples have equal length or not.
70,Write a function to sort a list of elements using comb sort.
71,Write a python function to check whether the given number can be represented as difference of two squares or not.
72,Write a function to split the given string with multiple delimiters by using regex.
73,Write a function to check whether it follows the sequence given in the patterns array.
74,Write a function to find tuples which have all elements divisible by k from the given list of tuples.
75,Write a python function to count the number of squares in a rectangle.
76,Write a python function to find the difference between sum of even and odd digits.
77,Write a python function to find number of integers with odd number of set bits.
78,Write a python function to check whether the length of the word is odd or not.
79,Write a function to find the nth tetrahedral number.
80,Write a function to zip the two given tuples.
81,Write a function to find the volume of a sphere.
82,Write a python function to find the character made by adding all the characters of the given string.
83,Write a function to find the n-th number in newman conway sequence.
84,Write a function to find the surface area of a sphere.
85,Write a function to find nth centered hexagonal number.
86,Write a function to merge three dictionaries into a single expression.
87,Write a function to get the frequency of the elements in a list.
88,Write a function to find the closest smaller number than n.
89,Write a python function to find the length of the longest word.
90,Write a function to check if a substring is present in a given list of string values.
91,Write a function to check whether the given number is undulating or not.
92,Write a function to calculate the value of 'a' to the power 'b'.
93,Write a function to extract the index minimum value record from the given tuples.
94,Write a python function to find the minimum length of sublist.
95,Write a python function to find the number of divisors of a given integer.
96,Write a function to find frequency count of list of lists.
